url,name,stars,pricing/rate/amount,address,city,country,roomTypeCategory,bedroomLabel,bedLabel,bathroomLabel,minNights,maxNights,numberOfGuests,guestControls/allowsEvents,guestControls/allowsPets,Air conditioning,Backyard,Bathtub,Bed linens,Cable TV,Carbon monoxide alarm,Coffee maker,Cooking basics,Dedicated workspace,Dining table,Dishes and silverware,Dishwasher,Dryer,Elevator,Essentials,Extra pillows and blankets,Fire extinguisher,First aid kit,Free parking on premises,Hair dryer,Hangers,Heating,Hot water,Hot water kettle,Iron,Kitchen,Long term stays allowed,Luggage dropoff allowed,Microwave,Oven,Patio or balcony,Pool,Private entrance,Refrigerator,Shampoo,Smoke alarm,Stove,TV,Washer,Wifi
https://www.airbnb.com/rooms/12113738,BED AND BREAKFAST/SERVICE APARTMENT,4.6,48,"New Delhi, Delhi, India",New Delhi,India,private_room,1.0,2.0,1.5,1,365,3,TRUE,TRUE,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
https://www.airbnb.com/rooms/12120894,LINNEN CUBA - Spacious Apartment near Mauerpark,4.94,364,"Berlin, Germany",Berlin,Germany,entire_home,3.0,3.0,1.5,3,1125,6,FALSE,FALSE,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1
https://www.airbnb.com/rooms/12151177,Penthouse @ Casa Bonita & villas,4.82,630,"Isla Mujeres, Quintana Roo, Mexico",Isla Mujeres,Mexico,entire_home,4.0,7.0,4.0,1,365,10,FALSE,FALSE,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
https://www.airbnb.com/rooms/12157634,交通便捷、空氣清新、馬路寬敞、花木扶疏、附近有多處觀光景點,5.0,208,"樹林區, 新北市, Taiwan",樹林區,Taiwan,entire_home,2.0,2.0,2.5,7,1125,4,FALSE,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1
https://www.airbnb.com/rooms/12165432,Ca' Del Teatro Terrace,4.89,582,"Venice, Veneto, Italy",Venezia,Italy,entire_home,3.0,4.0,3.0,1,1125,6,FALSE,FALSE,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/12178440,"The Owl Homestay (Hse No.5) Wedding, Shooting Film",4.82,120,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,entire_home,3.0,5.0,2.0,1,1125,7,TRUE,FALSE,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1
https://www.airbnb.com/rooms/12189300,Casa Bonita: 6 bedroom house for 12,4.87,855,"Isla Mujeres, Quintana Roo, Mexico",Isla Mujeres,Mexico,entire_home,6.0,7.0,6.0,1,365,12,TRUE,FALSE,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
https://www.airbnb.com/rooms/12196747,《Award》 STAY PENT HAUS 5room+3bath+3min Subway,4.89,400,"Mapo-gu, Seoul, South Korea",Mapo-gu,South Korea,entire_home,5.0,6.0,3.0,3,1125,12,TRUE,FALSE,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/12207177,Bright flat next to best Park 10min walk to center,4.95,172,"Prague, Hlavní město Praha, Czechia",Prague,Czechia,entire_home,1.0,1.0,1.0,2,1125,3,FALSE,FALSE,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1
https://www.airbnb.com/rooms/12209121,Majestic French Colonial Home in Heart of Saigon.,4.86,96,"Ho Chi Minh City, Hồ Chí Minh, Vietnam",Ho Chi Minh City,Vietnam,entire_home,2.0,2.0,1.5,2,1125,5,FALSE,TRUE,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/12219534,3-spacious bedrooms with exotic roof in Nasr city,5.0,98,"Nasr City, Cairo Governorate, Egypt",Nasr City,Egypt,entire_home,3.0,4.0,2.0,1,1125,5,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
https://www.airbnb.com/rooms/12240135,Devara Pool Villa / 8 bedrooms / Private pool,4.84,484,"Pattaya, Chon Buri, Thailand",Pattaya,Thailand,entire_home,8.0,11.0,8.5,1,365,16,TRUE,FALSE,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
